시도,종별,기관명,전화번호,주소,위도,경도
경상남도,종합병원,근로복지공단 창원병원,055-280-0410,경상남도 창원시 성산구 창원대로 721,128.6724239,35.218748
경기도,종합병원,의료법인 우리의료재단 김포우리병원,031-999-1400,경기도 김포시 감암로 11,126.7107487,37.63232861
경기도,종합병원,오산한국병원,031-379-8336,경기도 오산시 밀머리로1번길 16,127.0752711,37.14119786
대전광역시,요양병원,의료법인밝은마음의료재단유성한가족요양병원,042-611-9755,대전광역시 유성구 온천동로 43,127.35066,36.35536623
충청남도,요양병원,다나힐요양병원,041-590-7777,충청남도 천안시 서북구 직산읍 석양길 4,127.107215,36.88615685
충청남도,요양병원,대정요양병원,041-730-2800,충청남도 논산시 상월면 계룡산로237번길 38-60,127.1591989,36.30986126
부산광역시,종합병원,의료법인 인당의료재단 해운대 부민병원,051-602-8000,부산광역시 해운대구 해운대로 584,129.1556561,35.16142041
경상북도,종합병원,안동성소병원,054-850-8893,경상북도 안동시 서동문로 99,128.7228072,36.56715696
충청남도,종합병원,충청남도홍성의료원,041-630-6239,충청남도 홍성군 홍성읍 조양로 224,126.6739096,36.59902947
경상북도,요양병원,안동요양병원,054-820-1406,경상북도 안동시 전거리길 57,128.7443428,36.56000313
경상남도,요양병원,의료법인 푸른솔의료재단 김해한솔재활요양병원 ,055-329-3340,경상남도 김해시 김해대로 2379,128.8869292,35.22725155
충청북도,종합병원,(법)인화재단한국병원,043-252-6677,충청북도 청주시 상당구 단재로 106,127.4962776,36.61985321
경기도,종합병원,한도병원,031-8040-1574,경기도 안산시 단원구 선부광장로 103,126.8076208,37.33405503
충청남도,종합병원,의료법인영서의료재단천안충무병원,041-570-5470,충청남도 천안시 다가말3길,127.1314908,36.7974204
충청남도,종합병원,충청남도공주의료원,041-962-1230,충청남도 공주시 무령로 77,127.1094976,36.45887778
경기도,종합병원,참조은병원,031-881-9424,경기도 광주시 광주대로 45,127.2602404,37.41093027
인천광역시,종합병원,검단탑병원,032-590-0300,인천광역시 서구 청마로19번길 5,126.6707151,37.59262358
전라북도,요양병원,엔젤요양병원,063-860-0124,전라북도 익산시 함열읍 익산대로 1493-1,126.9606185,36.05309533
충청남도,종합병원,아산충무병원,041-536-6628,충청남도 아산시 문화로 381,127.0199489,36.7792925
광주광역시,요양병원,광주시립제2요양병원,062-612-9870,광주광역시 남구 덕남길 100,126.8976495,35.09388264
전라북도,종합병원,전라북도남원의료원,063-620-1197,전라북도 남원시 충정로 365,127.4067661,35.43217733
경기도,종합병원,성남시의료원,031-738-7286,경기도 성남시 수정구 수정로171번길 10,127.1390577,37.44498456
세종특별자치시,종합병원,세종충남대학교병원,044-995-4405,세종특별자치시 보듬7로 20,127.2579427,36.51951336
경상북도,종합병원,학교법인동은학원순천향대학교부속구미병원,054-468-9570,경상북도 구미시 1공단로 179,128.3821703,36.10341593
부산광역시,종합병원,의료법인인당의료재단부민병원,051-330-3233,부산광역시 북구 만덕대로 59,129.011216,35.21196445
광주광역시,종합병원,빛고을전남대학교병원,062-670-9445,광주광역시 남구 덕남길 80,126.8962749,35.09426771
전라남도,병원,전라남도강진의료원,061-430-1193,전라남도 강진군 강진읍 탐진로 5,126.7581407,34.63749893
인천광역시,요양병원,천진요양병원,032-577-9777,인천광역시 서구 건지로 264,126.6715079,37.49889489
인천광역시,종합병원,인천기독병원,032-270-8115,인천광역시 중구 답동로30번길 10,126.6320698,37.47117756
인천광역시,요양병원,고은요양병원,032-715-5933,인천광역시 중구 연안부두로21번길 11-12,126.6050351,37.45573093
충청북도,요양병원,서원요양병원,043-233-6000,충청북도 청주시 서원구 남이면 남석로 316-26,127.429717,36.58217701
전라북도,종합병원,의료법인영경의료재단전주병원,063-220-7579,전라북도 전주시 완산구 한두평3길 13,127.1247632,35.81516415
인천광역시,요양병원,봄날요양병원,032-464-9101,인천광역시 남동구 인주대로 806,126.7267669,37.4483617
광주광역시,종합병원,서광병원,062-600-8044,광주광역시 서구 금화로59번길 6,126.8557328,35.13259621
강원도,요양병원,춘천새윤병원,033-264-3100,강원도 춘천시 퇴계공단길 40,127.7357871,37.84449802
전라북도,병원,김제우석병원,063-540-5249,전라북도 김제시 서암4길 45,126.8808637,35.80717341
충청북도,병원,(의료)청주병원,043-220-1234,충청북도 청주시 상당구 상당로 163,127.4887414,36.64308618
서울특별시,요양병원,트리니티요양병원,02-2015-9504,서울특별시 강남구 봉은사로 535,127.0586744,37.51425813
인천광역시,병원,인천적십자병원,032-899-4469,인천광역시 연수구 원인재로 263,126.6895889,37.41841971
대전광역시,요양병원,평화요양병원,042-250-9124,대전광역시 중구 대전천서로 745,127.408482,36.34735307
대구광역시,병원,의료법인명문의료재단대구기독병원,053-606-1646,대구광역시 달서구 달구벌대로 1750,128.556865,35.8570263
인천광역시,요양병원,인천드림요양병원,032-887-7600,인천광역시 미추홀구 경인로 46,126.6482774,37.46417222
인천광역시,요양병원,인일요양병원,032-863-0051,인천광역시 미추홀구 미추홀대로 699,126.6798503,37.45997606
인천광역시,종합병원,비에스 종합병원,032-290-0004,인천광역시 강화군 강화읍 충렬사로 31,126.4857297,37.73606459
강원도,종합병원,강원도속초의료원,033-630-6041,강원도 속초시 영랑호반길 3,128.5875889,38.21591429
전라북도,종합병원,전주고려병원,063-240-7488,전라북도 전주시 덕진구 안덕원로 367,127.1673162,35.84009687
강원도,요양병원,바른요양병원,033-762-0100,강원도 원주시 판부면 치악로 1139,127.9908842,37.29315603
대구광역시,병원,대구병원,053-311-2001,대구광역시 북구 칠곡중앙대로 194,128.5487688,35.91328062
전라남도,종합병원,전라남도순천의료원,061-759-9420,전라남도 순천시 서문성터길 2,127.4831971,34.95760615
충청남도,요양병원,계룡장수요양병원,042-840-7676,충청남도 계룡시 엄사면 향적산길 48-8,127.2173436,36.28610813
인천광역시,요양병원,송도하나요양병원,032-438-0808,인천광역시 미추홀구 아암대로253번길 36,126.6355969,37.43989892
대구광역시,요양병원,성서효요양병원,053-584-6655,대구광역시 달서구 달구벌대로 1152,128.4932207,35.8510538
강원도,요양병원,토마스요양병원,033-253-5000,강원도 춘천시 영서로 1925-9,127.7548495,37.84667953
경기도,요양병원,의료법인 자운의료재단 강남요양병원,031-311-0700,경기도 시흥시 수인로3325번길 10,126.7882135,37.4381992
경기도,요양병원,에스알씨노인전문병원,031-799-8013,경기도 광주시 초월읍 경수길 25,127.287081,37.41948735
대전광역시,종합병원,근로복지공단대전산재병원,042-670-5410,대전광역시 대덕구 계족로 637,127.4281175,36.36926654
대전광역시,종합병원, (의)영훈의료재단유성선병원,042-609-1952,대전광역시 유성구 북유성대로 93,127.3249905,36.37513316
대전광역시,종합병원,(의)대전선병원,042-220-8017,대전광역시 중구 목중로 29,127.4104197,36.33593926
경기도,요양병원,연세나을암요양병원,031-949-4188,경기도 파주시 경의로 1108,126.7602246,37.71616646
부산광역시,종합병원,의료법인은성재단좋은강안병원,051-610-9770,부산광역시 수영구 수영로 493,129.1106007,35.15017251
경상남도,종합병원,창원경상국립대학교병원,055-214-1237,경상남도 창원시 성산구 삼정자로 11,128.707849,35.19926241
경기도,종합병원,의정부을지대학교병원,031-951-3329,경기도 의정부시 동일로 712,127.0506957,37.75182904
충청북도,종합병원,의료법인 명지의료재단 명지병원,043-640-8472,충청북도 제천시 내토로 991,128.2339489,37.16343019
경기도,종합병원,의료법인 석경의료재단 센트럴병원,031-8041-3537,경기도 시흥시 공단1대로 237,126.7279826,37.3368442
충청북도,종합병원,건국대학교 충주병원,043-840-8535,충청북도 충주시 국원대로 82,127.9290736,36.9793167
대구광역시,종합병원,드림병원,053-640-8822,대구광역시 남구 대명로 153,128.5744644,35.83961417
경기도,종합병원,근로복지공단 안산병원,031-500-1105,경기도 안산시 상록구 구룡로 87,126.8739908,37.31678675
인천광역시,종합병원,근로복지공단 인천산재병원,032-500-0116,인천광역시 부평구 무네미로 446,126.7540178,37.47597299
부산광역시,종합병원,의료법인정화의료재단(봉생병원),051-664-4040,부산광역시 동구 중앙대로 401,129.0505616,35.13086197
충청북도,종합병원,청주성모병원,043-219-8818,충청북도 청주시 청원구 주성로 173-19  (주중동),127.4856059,36.673536
전라남도,요양병원,백재활요양병원,061-373-0500,전라남도 화순군 화순읍 대교로 147-10,126.9966015,35.0638581
경기도,종합병원,(의)영문의료재단 다보스병원,031-8021-2121,경기도 용인시 처인구 백옥대로1082번길 18 다보스종합병원 (김량장동),127.2114648,37.2314883
경기도,종합병원,부천우리병원,032-672-4100,경기도 부천시 소사로 726,126.8052433,37.520851
충청남도,요양병원,공주에덴요양병원,041-858-9900,충청남도 공주시 치미마을길 4 (신관동),127.1270196,36.4754539
서울특별시,요양병원,성북서울요양병원,02-6312-3717,서울특별시 성북구 종암로 31 (종암동),127.03588,37.5931073
경기도,요양병원,(의)수지의료재단수지요양병원,031-262-0050,"경기도 용인시 수지구 풍덕천로22번길 15 수지요양병원 지하1,지상2~6층 (풍덕천동)",127.0848582,37.3168605
서울특별시,요양병원,송파그랜드요양병원,02-406-0999,서울특별시 송파구 마천로 238 윤진프라자타워 (마천동),127.1437825,37.4996465
전라남도,요양병원,화순군립요양병원,061-379-6027,전라남도 화순군 화순읍 서양로 330 (),127.0024521,35.0618654
대구광역시,요양병원,휴요양병원,053-652-2220,대구광역시 달서구 성당로 215 1~7층 (두류동),128.573258,35.8515235
전라북도,요양병원,정다운요양병원,063-530-1000,전라북도 정읍시 관통로 27 (시기동),126.8607906,35.5640726
경상남도,종합병원,창원한마음병원,055-225-0800,경상남도 창원시 의창구 용동로57번길 8 (사림동),128.6865915,35.2212186
대구광역시,요양병원,신홍도요양병원,070-4432-8616,"대구광역시 달서구 용산로 141 그랜드M 타워 지하2,지상2,10,11,15층동 (용산동)",128.5301098,35.850151
충청북도,종합병원,충청북도 청주의료원,043-279-2341,충청북도 청주시 서원구 흥덕로 48  (사직동),127.4730326,36.6402026
대구광역시,종합병원,계명대학교 대구동산병원,053-250-8048,대구광역시 중구 달성로 56,128.5825231,35.87017964
대구광역시,병원,대구 굿모닝병원,053-620-9100,대구광역시 남구 성당로 224 (대명동),128.5740875,35.8530071
전라북도,종합병원,대산의료재단 익산병원,063-840-9226,전라북도 익산시 무왕로 969,126.9665525,35.96172774
대전광역시,종합병원,대전한국병원,042-606-1400,대전광역시 동구 동서대로 1672  (성남동),127.4358152,36.3482008
전라북도,요양병원,효드림요양병원,063-547-5000,전라북도 김제시 화동길 135,126.8949796,35.79867973
서울특별시,종합병원,차의과학대학교 강남차병원,02-3468-3447,"서울특별시 강남구 논현로 566 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",127.035055,37.5067941
인천광역시,요양병원,국제베드로요양병원,032-888-2300,인천광역시 미추홀구 아암대로 53 3~10층 (용현동),126.6544099,37.4665321
경상북도,병원,의료법인 제중원 제남병원,054-832-2036,경상북도 의성군 봉양면 도리원2길 41 (),128.5821659,36.2999848
광주광역시,종합병원,해피뷰병원,062-519-9001,광주광역시 북구 경열로 216-0 해피뷰병원,126.906773,35.1586417
